====== 编译 mlp_dcu.cpp ======
[Done] 生成可执行文件：mlp_dcu

====== 运行 mlp_dcu ======
[DEBUG] 程序启动
[INFO] 成功读取数据量: 3394
[DEBUG] 加载数据完毕, data.size() = 3394
[INFO] 开始训练，共 11 个批次，每批大小 256。总样本数 = 2707
[Epoch 1/200] Loss = 0.378053, Time = 7.54066 ms
[Epoch 2/200] Loss = 0.308939, Time = 5.90463 ms
[Epoch 3/200] Loss = 0.231131, Time = 5.90222 ms
[Epoch 4/200] Loss = 0.167304, Time = 5.90953 ms
[Epoch 5/200] Loss = 0.12001, Time = 5.90531 ms
[Epoch 6/200] Loss = 0.0863535, Time = 5.9036 ms
[Epoch 7/200] Loss = 0.0628333, Time = 5.90081 ms
[Epoch 8/200] Loss = 0.0465353, Time = 5.89599 ms
[Epoch 9/200] Loss = 0.0352894, Time = 5.91446 ms
[Epoch 10/200] Loss = 0.0275502, Time = 5.90214 ms
[Epoch 11/200] Loss = 0.0222343, Time = 5.90255 ms
[Epoch 12/200] Loss = 0.0185875, Time = 5.90466 ms
[Epoch 13/200] Loss = 0.0160873, Time = 5.90022 ms
[Epoch 14/200] Loss = 0.014374, Time = 5.90015 ms
[Epoch 15/200] Loss = 0.0132001, Time = 5.90377 ms
[Epoch 16/200] Loss = 0.0123957, Time = 5.89921 ms
[Epoch 17/200] Loss = 0.0118434, Time = 5.90333 ms
[Epoch 18/200] Loss = 0.0114632, Time = 5.90013 ms
[Epoch 19/200] Loss = 0.0112006, Time = 5.90645 ms
[Epoch 20/200] Loss = 0.0110184, Time = 5.91215 ms
[Epoch 21/200] Loss = 0.0108911, Time = 5.89893 ms
[Epoch 22/200] Loss = 0.0108015, Time = 5.89492 ms
[Epoch 23/200] Loss = 0.0107373, Time = 5.89748 ms
[Epoch 24/200] Loss = 0.0106906, Time = 5.89989 ms
[Epoch 25/200] Loss = 0.0106556, Time = 5.88488 ms
[Epoch 26/200] Loss = 0.0106287, Time = 5.89649 ms
