====== 编译 mlp_dcu.cpp ======
[Done] 生成可执行文件：mlp_dcu

====== 运行 mlp_dcu ======
[DEBUG] 程序启动
[INFO] 成功读取数据量: 3394
[DEBUG] 加载数据完毕, data.size() = 3394
[INFO] 开始训练，共 11 个批次，每批大小 256。总样本数 = 2707
[Epoch 1/200] Loss = 0.390451, Time = 7.53609 ms
[Epoch 2/200] Loss = 0.379241, Time = 5.92417 ms
[Epoch 3/200] Loss = 0.368361, Time = 5.89682 ms
[Epoch 4/200] Loss = 0.357802, Time = 5.92067 ms
[Epoch 5/200] Loss = 0.347556, Time = 5.89576 ms
[Epoch 6/200] Loss = 0.337613, Time = 5.91232 ms
[Epoch 7/200] Loss = 0.327964, Time = 5.91678 ms
[Epoch 8/200] Loss = 0.318601, Time = 5.90746 ms
[Epoch 9/200] Loss = 0.309516, Time = 5.92299 ms
[Epoch 10/200] Loss = 0.300699, Time = 5.90294 ms
[Epoch 11/200] Loss = 0.292143, Time = 5.89801 ms
[Epoch 12/200] Loss = 0.283841, Time = 5.90074 ms
[Epoch 13/200] Loss = 0.275783, Time = 5.88075 ms
[Epoch 14/200] Loss = 0.267964, Time = 5.86778 ms
[Epoch 15/200] Loss = 0.260374, Time = 5.88846 ms
[Epoch 16/200] Loss = 0.253008, Time = 5.8945 ms
[Epoch 17/200] Loss = 0.24586, Time = 5.90441 ms
[Epoch 18/200] Loss = 0.238922, Time = 5.90137 ms
[Epoch 19/200] Loss = 0.232189, Time = 5.90575 ms
[Epoch 20/200] Loss = 0.225655, Time = 5.88683 ms
[Epoch 21/200] Loss = 0.219313, Time = 5.90226 ms
[Epoch 22/200] Loss = 0.213157, Time = 5.92862 ms
[Epoch 23/200] Loss = 0.207183, Time = 5.91302 ms
[Epoch 24/200] Loss = 0.201384, Time = 5.89924 ms
[Epoch 25/200] Loss = 0.195757, Time = 5.90045 ms
[Epoch 26/200] Loss = 0.190295, Time = 5.90111 ms
[Epoch 27/200] Loss = 0.184994, Time = 5.91256 ms
[Epoch 28/200] Loss = 0.179849, Time = 5.92161 ms
[Epoch 29/200] Loss = 0.174855, Time = 5.89159 ms
[Epoch 30/200] Loss = 0.170008, Time = 5.90522 ms
[Epoch 31/200] Loss = 0.165304, Time = 5.90758 ms
[Epoch 32/200] Loss = 0.160738, Time = 5.89034 ms
[Epoch 33/200] Loss = 0.156307, Time = 5.96017 ms
[Epoch 34/200] Loss = 0.152006, Time = 5.9387 ms
[Epoch 35/200] Loss = 0.147832, Time = 5.92345 ms
[Epoch 36/200] Loss = 0.143781, Time = 5.90259 ms
[Epoch 37/200] Loss = 0.13985, Time = 5.90764 ms
[Epoch 38/200] Loss = 0.136034, Time = 5.9138 ms
[Epoch 39/200] Loss = 0.132331, Time = 5.92279 ms
[Epoch 40/200] Loss = 0.128736, Time = 5.90867 ms
[Epoch 41/200] Loss = 0.125247, Time = 5.92868 ms
[Epoch 42/200] Loss = 0.121861, Time = 5.919 ms
[Epoch 43/200] Loss = 0.118574, Time = 5.92152 ms
[Epoch 44/200] Loss = 0.115383, Time = 5.92199 ms
[Epoch 45/200] Loss = 0.112286, Time = 5.91063 ms
[Epoch 46/200] Loss = 0.10928, Time = 5.91059 ms
[Epoch 47/200] Loss = 0.106362, Time = 5.91272 ms
[Epoch 48/200] Loss = 0.103531, Time = 5.91485 ms
[Epoch 49/200] Loss = 0.100782, Time = 5.90601 ms
[Epoch 50/200] Loss = 0.0981144, Time = 5.89806 ms
[Epoch 51/200] Loss = 0.0955253, Time = 5.91739 ms
[Epoch 52/200] Loss = 0.0930125, Time = 5.89595 ms
[Epoch 53/200] Loss = 0.0905734, Time = 5.91389 ms
